InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
561120,23200,JUMBO BAG PEARS,10,7/25/2011 12:50,2.08,15835,United Kingdom
556102,22147,FELTCRAFT BUTTERFLY HEARTS,12,6/8/2011 16:15,1.45,13115,United Kingdom
572327,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,10/24/2011 10:08,0.29,15277,United Kingdom
554860,23166,MEDIUM CERAMIC TOP STORAGE JAR,12,5/27/2011 10:20,1.25,15249,United Kingdom
555560,37327,ASSTD MULTICOLOUR CIRCLES MUG,4,6/5/2011 14:20,0.39,17346,United Kingdom
579501,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,18,11/29/2011 16:16,2.75,14088,United Kingdom
539039,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,1,12/15/2010 15:00,3.75,13124,United Kingdom
544678,21877,HOME SWEET HOME MUG,1,2/22/2011 16:15,1.25,13077,United Kingdom
580400,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,12/4/2011 11:50,8.5,16561,United Kingdom
540644,22385,JUMBO BAG SPACEBOY DESIGN,10,1/10/2011 14:16,1.95,16303,United Kingdom
580027,21382,SET/4 SPRING FLOWER DECORATION,3,12/1/2011 12:01,0.75,14178,United Kingdom
569219,23247,BISCUIT TIN 50'S CHRISTMAS,1,10/2/2011 13:01,2.89,13558,United Kingdom
549985,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,4,4/13/2011 15:58,2.95,15640,United Kingdom
571905,22766,PHOTO FRAME CORNICE,8,10/19/2011 14:51,2.95,12370,Cyprus
578834,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,11/25/2011 15:32,6.75,18109,United Kingdom
550359,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,4/18/2011 10:41,1.25,17841,United Kingdom
560444,22094,RED RETROSPOT TISSUE BOX,3,7/18/2011 17:15,0.39,13764,United Kingdom
581074,22900,SET 2 TEA TOWELS I LOVE LONDON,10,12/7/2011 11:27,3.25,15568,United Kingdom
554497,21832,CHOCOLATE CALCULATOR,12,5/24/2011 14:38,1.65,15819,United Kingdom
559369,23119,PACK OF 6 LARGE FRUIT STRAWS,12,7/8/2011 10:00,0.62,14388,United Kingdom
565331,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,9/2/2011 13:59,1.65,16674,United Kingdom
565616,23212,HEART WREATH DECORATION WITH BELL,12,9/5/2011 15:26,1.25,15238,United Kingdom
568183,21794,CLASSIC FRENCH STYLE BASKET NATURAL,4,9/25/2011 13:47,3.95,13991,United Kingdom
571279,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,10/16/2011 12:54,2.95,16466,United Kingdom
539106,22966,GINGERBREAD MAN COOKIE CUTTER,144,12/16/2010 10:51,1.06,16705,United Kingdom
574655,85199S,SMALL HANGING IVORY/RED WOOD BIRD,12,11/6/2011 11:35,0.42,16466,United Kingdom
541504,22111,SCOTTIE DOG HOT WATER BOTTLE,2,1/18/2011 15:37,4.95,14415,United Kingdom
542000,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,1/25/2011 10:49,1.95,14257,United Kingdom
580689,22960,JAM MAKING SET WITH JARS,6,12/5/2011 15:43,4.25,12994,United Kingdom
542425,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,1/28/2011 9:20,2.95,12574,France
576066,23194,GYMKHANA TREASURE BOOK BOX,1,11/13/2011 15:44,2.25,16898,United Kingdom
581230,21509,COWBOYS AND INDIANS BIRTHDAY CARD,12,12/8/2011 10:24,0.42,14291,United Kingdom
557259,22583,PACK OF 6 HANDBAG GIFT BOXES,2,6/19/2011 10:38,2.55,15909,United Kingdom
571846,22469,HEART OF WICKER SMALL,1,10/19/2011 12:35,1.65,17841,United Kingdom
579161,16045,POPART WOODEN PENCILS ASST,100,11/28/2011 13:56,0.04,17379,United Kingdom
567482,22652,TRAVEL SEWING KIT,3,9/20/2011 13:42,1.65,16464,United Kingdom
540372,16161U,WRAP SUKI AND FRIENDS,25,1/6/2011 16:41,0.42,13081,United Kingdom
569691,22563,HAPPY STENCIL CRAFT,12,10/5/2011 15:09,1.25,18223,United Kingdom
554981,23147,SINGLE ANTIQUE ROSE HOOK IVORY,2,5/29/2011 12:06,1.45,17613,United Kingdom
578530,21790,VINTAGE SNAP CARDS,12,11/24/2011 14:37,0.85,14251,United Kingdom
546562,22424,ENAMEL BREAD BIN CREAM,1,3/15/2011 10:45,12.75,16293,United Kingdom
566864,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,9/15/2011 12:51,2.95,17786,United Kingdom
553172,23051,RECYCLED ACAPULCO MAT BLUE,4,5/13/2011 17:15,8.25,14031,United Kingdom
548993,22637,PIGGY BANK RETROSPOT,48,4/5/2011 13:56,2.1,12753,Japan
546423,22428,ENAMEL FIRE BUCKET CREAM,1,3/13/2011 12:39,6.95,14502,United Kingdom
559751,22995,TRAVEL CARD WALLET SUKI,24,7/12/2011 11:28,0.42,14688,United Kingdom
536528,22900,SET 2 TEA TOWELS I LOVE LONDON,1,12/1/2010 13:17,2.95,15525,United Kingdom
567656,22185,SLATE TILE NATURAL HANGING,1,9/21/2011 14:40,3.29,14096,United Kingdom
580296,22906,12 MESSAGE CARDS WITH ENVELOPES,6,12/2/2011 13:49,1.65,13780,United Kingdom
577082,22571,ROCKING HORSE RED CHRISTMAS,12,11/17/2011 15:31,0.85,15811,United Kingdom
580500,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,12/4/2011 12:52,0.85,17131,United Kingdom
545183,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2/28/2011 14:59,1.25,15570,United Kingdom
549436,21791,VINTAGE HEADS AND TAILS CARD GAME,24,4/8/2011 12:34,1.25,18041,United Kingdom
546028,22199,FRYING PAN RED RETROSPOT,4,3/9/2011 08:33,4.25,17049,United Kingdom
565431,23138,SINGLE WIRE HOOK IVORY HEART,12,9/4/2011 13:15,1.45,14965,United Kingdom
578358,22804,PINK HANGING HEART T-LIGHT HOLDER,160,11/24/2011 10:35,2.55,15482,United Kingdom
566076,22729,ALARM CLOCK BAKELIKE ORANGE,4,9/9/2011 09:13,3.75,12449,Belgium
579132,20982,12 PENCILS TALL TUBE SKULLS,3,11/28/2011 12:35,0.85,15022,United Kingdom
572224,22580,ADVENT CALENDAR GINGHAM SACK,6,10/21/2011 13:46,5.95,16558,United Kingdom
577711,23509,MINI PLAYING CARDS FUN FAIR,1,11/21/2011 12:17,0.42,15527,United Kingdom
551546,22499,WOODEN UNION JACK BUNTING,3,5/3/2011 09:34,5.95,18062,United Kingdom
563444,47566B,TEA TIME PARTY BUNTING,1,8/16/2011 13:50,4.95,16033,United Kingdom
581021,23296,SET OF 6 TEA TIME BAKING CASES,8,12/7/2011 10:24,1.25,14769,United Kingdom
537915,21791,VINTAGE HEADS AND TAILS CARD GAME,12,12/9/2010 10:55,1.25,12797,Portugal
553833,20724,RED RETROSPOT CHARLOTTE BAG,5,5/19/2011 11:41,0.85,17346,United Kingdom
569521,21163,DO NOT TOUCH MY STUFF DOOR HANGER,1,10/4/2011 14:33,0.39,16474,United Kingdom
578757,22940,FELTCRAFT CHRISTMAS FAIRY,2,11/25/2011 11:41,4.25,12748,United Kingdom
556204,22212,FOUR HOOK  WHITE LOVEBIRDS,6,6/9/2011 13:16,2.1,17169,United Kingdom
540469,48129,DOORMAT TOPIARY,1,1/7/2011 14:04,7.95,12484,Spain
568141,22569,FELTCRAFT CUSHION BUTTERFLY,1,9/25/2011 11:21,3.75,16326,United Kingdom
576599,22633,HAND WARMER UNION JACK,24,11/15/2011 15:06,2.1,14544,United Kingdom
578812,22798,ANTIQUE GLASS DRESSING TABLE POT,8,11/25/2011 13:30,2.95,13332,United Kingdom
567373,23200,JUMBO BAG PEARS,10,9/20/2011 9:31,2.08,16700,United Kingdom
576406,23123,COCKTAIL SWORDS 50 PIECES,12,11/15/2011 11:17,0.83,13692,United Kingdom
559674,23002,TRAVEL CARD WALLET SKULLS,3,7/11/2011 14:16,0.42,15856,United Kingdom
547383,22453,MEASURING TAPE BABUSHKA BLUE,6,3/22/2011 15:42,2.95,12613,Germany
545978,21456,2 PICTURE BOOK EGGS EASTER CHICKS,6,3/8/2011 12:19,1.25,13975,United Kingdom
559552,22273,FELTCRAFT DOLL MOLLY,1,7/10/2011 16:29,2.95,16014,United Kingdom
569129,23198,PANTRY MAGNETIC  SHOPPING LIST,2,9/30/2011 13:40,1.45,15034,United Kingdom
571441,22064,PINK DOUGHNUT TRINKET POT,1,10/17/2011 13:31,3.29,14096,United Kingdom
562540,82600,NO SINGING METAL SIGN,3,8/5/2011 15:38,2.1,17400,United Kingdom
544833,22893,MINI CAKE STAND T-LIGHT HOLDER,24,2/24/2011 10:10,0.42,15974,United Kingdom
561205,84944,SET OF 6 KASHMIR FOLKART BAUBLES,6,7/25/2011 15:48,1.65,17693,United Kingdom
557126,21034,REX CASH+CARRY JUMBO SHOPPER,2,6/16/2011 19:21,0.95,18168,United Kingdom
565150,22937,BAKING MOULD CHOCOLATE CUPCAKES,6,9/1/2011 14:26,2.1,14298,United Kingdom
572319,21620,SET OF 4 ROSE BOTANICAL CANDLES,1,10/23/2011 16:19,1.25,14704,United Kingdom
573347,21992,VINTAGE PAISLEY STATIONERY SET,3,10/30/2011 12:26,1.25,13137,United Kingdom
573096,84378,SET OF 3 HEART COOKIE CUTTERS,12,10/27/2011 14:40,1.45,14004,United Kingdom
575167,90000A,RASPBERRY ANT COPPER FLOWER NECKLAC,2,11/8/2011 17:09,5.95,15153,United Kingdom
555638,85049C,ROMANTIC PINKS RIBBONS,12,6/6/2011 12:51,1.25,15150,United Kingdom
542932,82482,WOODEN PICTURE FRAME WHITE FINISH,12,2/2/2011 10:54,2.55,13089,United Kingdom
563557,23112,PARISIENNE CURIO CABINET,2,8/17/2011 13:33,7.5,15786,United Kingdom
567873,23168,CLASSIC CAFE SUGAR DISPENSER,12,9/22/2011 14:25,1.25,13055,United Kingdom
553209,85123A,WHITE HANGING HEART T-LIGHT HOLDER,48,5/16/2011 9:23,2.55,13777,United Kingdom
546423,21114,LAVENDER SCENTED FABRIC HEART,5,3/13/2011 12:39,1.25,14502,United Kingdom
555650,22423,REGENCY CAKESTAND 3 TIER,3,6/6/2011 13:48,12.75,14156,EIRE
572079,23169,CLASSIC GLASS COOKIE JAR,6,10/20/2011 14:11,4.15,14484,United Kingdom
559543,23282,FOLDING BUTTERFLY MIRROR IVORY,3,7/10/2011 13:46,0.83,17126,United Kingdom
569533,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,2,10/4/2011 15:21,4.95,16374,United Kingdom
552950,17091A,LAVENDER INCENSE IN TIN,6,5/12/2011 12:01,0.38,16116,United Kingdom
549579,22558,CLOTHES PEGS RETROSPOT PACK 24,12,4/11/2011 09:18,1.65,15780,United Kingdom
552727,23284,DOORMAT KEEP CALM AND COME IN,2,5/11/2011 10:32,7.95,14920,United Kingdom
543277,85099B,JUMBO BAG RED RETROSPOT,20,2/6/2011 14:33,1.95,15808,United Kingdom
574831,23232,WRAP VINTAGE LEAF DESIGN,25,11/7/2011 11:26,0.42,15522,United Kingdom
539325,22922,FRIDGE MAGNETS US DINER ASSORTED,12,12/17/2010 8:20,0.85,13004,United Kingdom
544839,22386,JUMBO BAG PINK POLKADOT,20,2/24/2011 10:50,1.95,14841,United Kingdom
572294,22384,LUNCH BAG PINK POLKADOT,10,10/23/2011 13:10,1.65,13471,United Kingdom
555946,84997C,CHILDRENS CUTLERY POLKADOT BLUE,4,6/8/2011 10:43,4.15,17238,United Kingdom
557745,22025,RING OF ROSES BIRTHDAY CARD,12,6/22/2011 12:16,0.42,15750,United Kingdom
568170,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,9/25/2011 13:08,3.75,16931,United Kingdom
564725,23438,RED SPOT GIFT BAG LARGE,2,8/28/2011 12:28,1.25,18041,United Kingdom
550149,21239,PINK  POLKADOT CUP,20,4/14/2011 14:37,0.85,13069,United Kingdom
550274,22083,PAPER CHAIN KIT RETROSPOT,6,4/15/2011 12:23,2.95,15498,United Kingdom
542100,22146,EASTER CRAFT IVY WREATH WITH CHICK,1,1/25/2011 13:15,1.95,15339,United Kingdom
573038,35471D,SET OF 3 BIRD LIGHT PINK FEATHER,2,10/27/2011 13:48,0.39,17545,United Kingdom
580727,21293,MIRRORED DOVE WALL DECORATION,1,12/5/2011 17:17,4.13,14096,United Kingdom
572023,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,10/20/2011 11:03,1.25,17764,United Kingdom
580307,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,12/2/2011 14:30,2.55,12970,United Kingdom
554942,22939,APRON APPLE DELIGHT,1,5/27/2011 14:01,4.95,17841,United Kingdom
578266,22374,AIRLINE BAG VINTAGE JET SET RED,1,11/23/2011 13:34,4.25,12748,United Kingdom
576593,23167,SMALL CERAMIC TOP STORAGE JAR,4,11/15/2011 14:48,0.83,15720,United Kingdom
573413,22362,GLASS JAR PEACOCK BATH SALTS,3,10/30/2011 16:12,2.95,15444,United Kingdom
566055,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,9/8/2011 15:05,1.25,15453,United Kingdom
567661,82581,TOILET METAL SIGN,5,9/21/2011 15:06,0.55,13959,United Kingdom
578264,22030,SWALLOWS GREETING CARD,12,11/23/2011 13:27,0.42,12748,United Kingdom
580695,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,2,12/5/2011 16:03,0.85,13230,United Kingdom
556041,22662,LUNCH BAG DOLLY GIRL DESIGN,2,6/8/2011 12:44,1.65,17954,United Kingdom
567474,20718,RED RETROSPOT SHOPPER BAG,10,9/20/2011 12:53,1.25,13448,United Kingdom
575583,22531,MAGIC DRAWING SLATE CIRCUS PARADE,1,11/10/2011 11:55,0.42,14456,United Kingdom
554993,22469,HEART OF WICKER SMALL,4,5/29/2011 14:13,1.65,17051,United Kingdom
562807,22949,36 DOILIES DOLLY GIRL,12,8/9/2011 14:57,1.45,16053,United Kingdom
577754,22046,TEA PARTY  WRAPPING PAPER,50,11/21/2011 14:47,0.42,18139,United Kingdom
580144,22620,4 TRADITIONAL SPINNING TOPS,12,12/2/2011 09:53,1.45,12684,France
567291,23319,BOX OF 6 MINI 50'S CRACKERS,6,9/19/2011 11:55,2.49,12527,Germany
542216,48194,DOORMAT HEARTS,2,1/26/2011 12:29,7.95,14911,EIRE
546438,22722,SET OF 6 SPICE TINS PANTRY DESIGN,24,3/14/2011 9:59,3.45,15125,United Kingdom
567384,82578,KITCHEN METAL SIGN,48,9/20/2011 10:23,0.73,17450,United Kingdom
577594,23177,TREASURE ISLAND BOOK BOX,6,11/20/2011 16:07,2.25,13142,United Kingdom
576633,20725,LUNCH BAG RED RETROSPOT,20,11/16/2011 9:27,1.65,13297,United Kingdom
554112,90194,SILVER LARIAT BLACK STONE EARRINGS,1,5/22/2011 14:44,4.25,17611,United Kingdom
547075,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,12,3/20/2011 14:35,4.25,15288,United Kingdom
542629,22398,MAGNETS PACK OF 4 SWALLOWS,48,1/31/2011 9:57,1.25,12731,France
540458,22609,PENS ASSORTED SPACEBALL,36,1/7/2011 12:28,0.21,12501,Germany
565618,21642,ASSORTED TUTTI FRUTTI PEN,24,9/5/2011 15:40,0.29,15974,United Kingdom
560934,22662,LUNCH BAG DOLLY GIRL DESIGN,10,7/22/2011 10:48,1.65,16722,United Kingdom
563949,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,12,8/22/2011 10:38,1.65,12747,United Kingdom
540823,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,48,1/11/2011 13:26,1.25,15569,United Kingdom
536742,21211,SET OF 72 SKULL PAPER  DOILIES,1,12/2/2010 13:14,1.45,16916,United Kingdom
564503,22741,FUNKY DIVA PEN,48,8/25/2011 14:23,0.85,13971,United Kingdom
544278,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,2/17/2011 12:01,2.1,15382,United Kingdom
568558,21742,LARGE ROUND WICKER PLATTER,2,9/27/2011 16:28,5.95,16354,United Kingdom
580910,22785,SQUARECUSHION COVER PINK UNION JACK,48,12/6/2011 13:29,1.25,13225,United Kingdom
568833,23351,ROLL WRAP 50'S CHRISTMAS,12,9/29/2011 11:39,1.25,17348,United Kingdom
540980,22283,6 EGG HOUSE PAINTED WOOD,2,1/12/2011 15:22,7.95,14514,United Kingdom
540980,84378,SET OF 3 HEART COOKIE CUTTERS,5,1/12/2011 15:22,1.25,14514,United Kingdom
549874,47591D,PINK FAIRY CAKE CHILDRENS APRON,1,4/12/2011 15:23,1.95,16919,United Kingdom
580727,22971,QUEENS GUARD COFFEE MUG,2,12/5/2011 17:17,4.96,14096,United Kingdom
545706,82482,WOODEN PICTURE FRAME WHITE FINISH,6,3/7/2011 09:10,2.55,12712,Germany
543653,20830,SILVER PHOTO FRAME,1,2/11/2011 10:26,2.1,14796,United Kingdom
564713,23300,GARDENERS KNEELING PAD CUP OF TEA,3,8/28/2011 10:43,1.65,16768,United Kingdom
577595,22112,CHOCOLATE HOT WATER BOTTLE,3,11/20/2011 16:12,4.95,16399,United Kingdom
561885,21063,PARTY INVITES JAZZ HEARTS,2,7/31/2011 13:13,0.85,15532,United Kingdom
580600,23354,6 GIFT TAGS 50'S CHRISTMAS,4,12/5/2011 11:13,0.83,12841,United Kingdom
579124,23203,JUMBO BAG VINTAGE DOILY,10,11/28/2011 12:14,2.08,15721,United Kingdom
555851,84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,1,6/7/2011 13:37,2.55,13050,United Kingdom
572035,22636,CHILDS BREAKFAST SET CIRCUS PARADE,8,10/20/2011 12:03,7.65,14646,Netherlands
552465,21524,DOORMAT SPOTTY HOME SWEET HOME,1,5/9/2011 15:17,7.95,16242,United Kingdom
560251,23310,BUBBLEGUM RING ASSORTED,36,7/17/2011 12:32,0.42,17774,United Kingdom
551824,84535B,FAIRY CAKES NOTEBOOK A6 SIZE,16,5/4/2011 12:32,0.65,15128,United Kingdom
553005,22295,HEART FILIGREE DOVE LARGE,12,5/12/2011 16:29,1.65,14651,United Kingdom
577008,84600,NEW BAROQUE JEWELLERY BOX,1,11/17/2011 12:02,7.95,16869,United Kingdom
567656,22207,FRYING PAN UNION FLAG,1,9/21/2011 14:40,8.29,14096,United Kingdom
539250,20803,SMALL PINK GLASS SUNDAE DISH,36,12/16/2010 13:44,0.42,15157,United Kingdom
573343,22144,CHRISTMAS CRAFT LITTLE FRIENDS,5,10/30/2011 11:59,2.1,13566,United Kingdom
576246,23171,REGENCY TEA PLATE GREEN,12,11/14/2011 13:42,1.65,17566,United Kingdom
571559,23388,WOODLAND MINI RUCKSACK,4,10/18/2011 9:32,4.15,14911,EIRE
580731,20973,12 PENCIL SMALL TUBE WOODLAND,1,12/5/2011 17:36,0.65,17383,United Kingdom
567378,23407,SET OF 2 TRAYS HOME SWEET HOME,2,9/20/2011 10:01,9.95,14911,EIRE
546100,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,3/9/2011 12:04,2.95,16572,United Kingdom
580956,22494,EMERGENCY FIRST AID TIN,1,12/6/2011 14:23,1.25,17841,United Kingdom
574547,20717,STRAWBERRY SHOPPER BAG,1,11/4/2011 15:08,1.25,17841,United Kingdom
573328,22377,BOTTLE BAG RETROSPOT,1,10/30/2011 11:09,2.1,16601,United Kingdom
550512,84971S,SMALL HEART FLOWERS HOOK,2,4/18/2011 16:31,0.85,18069,United Kingdom
552064,21531,RED RETROSPOT SUGAR JAM BOWL,1,5/6/2011 11:05,2.55,15874,United Kingdom
544672,22653,BUTTON BOX,20,2/22/2011 15:45,1.95,14646,Netherlands
566281,84950,ASSORTED COLOUR T-LIGHT HOLDER,24,9/11/2011 14:15,0.65,12748,United Kingdom
557211,22728,ALARM CLOCK BAKELIKE PINK,4,6/17/2011 11:49,3.75,15513,United Kingdom
559289,21033,JUMBO BAG CHARLIE AND LOLA TOYS,4,7/7/2011 12:22,2.08,15719,United Kingdom
557785,20665,RED RETROSPOT PURSE,6,6/22/2011 15:50,2.95,14364,United Kingdom
541795,22147,FELTCRAFT BUTTERFLY HEARTS,3,1/21/2011 13:47,1.45,14692,United Kingdom
546116,47559B,TEA TIME OVEN GLOVE,10,3/9/2011 13:53,1.25,15367,United Kingdom
566400,23092,LARGE ANTIQUE WHITE PHOTO FRAME,2,9/12/2011 13:16,7.9,17139,United Kingdom
546438,22960,JAM MAKING SET WITH JARS,24,3/14/2011 9:59,3.75,15125,United Kingdom
565091,22077,6 RIBBONS RUSTIC CHARM,12,9/1/2011 10:28,1.65,16011,United Kingdom
547880,21975,PACK OF 60 DINOSAUR CAKE CASES,2,3/27/2011 16:05,0.55,15426,United Kingdom
574249,23203,JUMBO BAG VINTAGE DOILY,10,11/3/2011 13:01,2.08,16347,United Kingdom
571425,22950,36 DOILIES VINTAGE CHRISTMAS,12,10/17/2011 12:41,1.45,14911,EIRE
557330,21718,RED METAL BEACH SPADE,12,6/20/2011 10:20,1.25,14291,United Kingdom
575905,21975,PACK OF 60 DINOSAUR CAKE CASES,24,11/11/2011 15:49,0.55,13732,United Kingdom
550251,21078,SET/20 STRAWBERRY PAPER NAPKINS,12,4/15/2011 11:44,0.85,14323,United Kingdom
566980,48194,DOORMAT HEARTS,10,9/16/2011 9:56,7.08,15498,United Kingdom
537509,22834,HAND WARMER BABUSHKA DESIGN,96,12/7/2010 11:41,1.85,13756,United Kingdom
540247,22231,JIGSAW TREE WITH BIRDHOUSE,1,1/5/2011 15:56,1.45,15464,United Kingdom
537334,22193,RED DINER WALL CLOCK,2,12/6/2010 12:06,8.5,16719,United Kingdom
545574,22212,FOUR HOOK  WHITE LOVEBIRDS,10,3/3/2011 18:16,2.1,13959,United Kingdom
563216,21629,SQUARE FLOOR CUSHION VINTAGE RED,1,8/14/2011 13:14,7.95,17841,United Kingdom
569232,20727,LUNCH BAG  BLACK SKULL.,10,10/2/2011 15:26,1.65,16667,United Kingdom
552669,22727,ALARM CLOCK BAKELIKE RED,3,5/10/2011 15:05,3.75,16710,United Kingdom
579196,21232,STRAWBERRY CERAMIC TRINKET POT,12,11/28/2011 15:54,2.46,14096,United Kingdom
554508,22089,PAPER BUNTING VINTAGE PAISLEY,12,5/24/2011 15:33,2.95,13213,United Kingdom
541676,21354,TOAST ITS - BEST MUM,12,1/20/2011 14:01,1.25,15379,United Kingdom
542526,48187,DOORMAT NEW ENGLAND,1,1/28/2011 12:43,7.95,14659,United Kingdom
578927,85099F,JUMBO BAG STRAWBERRY,3,11/27/2011 12:26,2.08,15747,United Kingdom
577097,22114,HOT WATER BOTTLE TEA AND SYMPATHY,24,11/17/2011 16:42,3.75,17243,United Kingdom
543281,21463,MIRRORED DISCO BALL,1,2/6/2011 15:34,5.95,14606,United Kingdom
545460,22630,DOLLY GIRL LUNCH BOX,1,3/2/2011 17:33,1.95,13230,United Kingdom
542350,48194,DOORMAT HEARTS,2,1/27/2011 12:11,7.95,16949,United Kingdom
564167,22384,LUNCH BAG PINK POLKADOT,10,8/23/2011 13:50,1.65,17735,United Kingdom
564849,22682,FRENCH BLUE METAL DOOR SIGN 7,10,8/30/2011 15:42,1.25,17675,United Kingdom
560233,23322,LARGE WHITE HEART OF WICKER,2,7/17/2011 11:10,2.95,16813,United Kingdom
565386,75011,BLUE DAISY MOBILE,5,9/2/2011 15:48,0.79,17997,United Kingdom
577483,84843,WHITE SOAP RACK WITH 2 BOTTLES,1,11/20/2011 11:50,5.95,14502,United Kingdom
552571,23204,CHARLOTTE BAG APPLES DESIGN,10,5/10/2011 12:08,0.85,14688,United Kingdom
575846,23531,WALL ART BIG LOVE,2,11/11/2011 12:07,6.95,17364,United Kingdom
545080,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2/28/2011 10:33,1.25,13004,United Kingdom
561888,23004,TRAVEL CARD WALLET PANTRY,24,7/31/2011 13:36,0.42,14092,United Kingdom
576095,10080,GROOVY CACTUS INFLATABLE,12,11/14/2011 9:13,0.39,14904,United Kingdom
548533,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,3/31/2011 17:17,0.85,13883,United Kingdom
556206,23160,REGENCY TEA SPOON,24,6/9/2011 13:46,1.25,14911,EIRE
560209,22714,CARD BIRTHDAY COWBOY,12,7/15/2011 14:05,0.42,15004,United Kingdom
580998,23301,GARDENERS KNEELING PAD KEEP CALM,5,12/6/2011 17:26,1.65,16987,United Kingdom
564855,82494L,WOODEN FRAME ANTIQUE WHITE,6,8/31/2011 9:10,2.95,16746,United Kingdom
553869,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,5/19/2011 14:27,2.08,15394,United Kingdom
536446,22294,HEART FILIGREE DOVE  SMALL,48,12/1/2010 12:15,1.25,15983,United Kingdom
540473,82583,HOT BATHS METAL SIGN,3,1/7/2011 14:31,2.1,17284,United Kingdom
580727,22815,CARD PSYCHEDELIC APPLES,10,12/5/2011 17:17,0.42,14096,United Kingdom
